char,deltaup,deltadown,downtime,uptime,char_index,user
r,0.12572884559631348,0.0765066146850586,0.4358212947845459,0.5123279094696045,3,rahil
d,0.35776567459106445,0.18167710304260254,0.6119098663330078,0.7935869693756104,4,rahil
s,0.2488875389099121,0.15902209281921387,0.701775312423706,0.8607974052429199,5,rahil
a,0.23839831352233887,0.1196286678314209,0.820544958114624,0.9401736259460449,6,rahil
l,0.24667787551879883,0.06588387489318848,1.0013389587402344,1.0672228336334229,7,rahil
l,0.21340489387512207,0.0624547004699707,1.1522891521453857,1.2147438526153564,8,rahil
l,0.1913313865661621,0.06707429885864258,1.2765462398529053,1.3436205387115479,9,rahil
o,0.21426963806152344,0.05621051788330078,1.434605360031128,1.4908158779144287,10,rahil
w,0.14963269233703613,0.13970041275024414,1.44453763961792,1.584238052368164,11,rahil
e,0.1925058364868164,0.09156465530395508,1.5454788208007812,1.6370434761047363,12,rahil
r,0.24211931228637695,0.06425976753234863,1.7233383655548096,1.7875981330871582,13,rahil
c,0.3116443157196045,0.13550305366516113,1.899479627609253,2.034982681274414,14,rahil
a,0.2512984275817871,0.15795087814331055,1.9928271770477295,2.15077805519104,15,rahil
s,0.285602331161499,0.13009428977966309,2.1483352184295654,2.2784295082092285,16,rahil
e,0.2806887626647949,0.05091452598571777,2.3781094551086426,2.4290239810943604,17,rahil
4,0,0.07165741920471191,0,0.07265663146972656,0,rahil
w,0.3151359558105469,0.12866997718811035,0.18746519088745117,0.3161351680755615,1,rahil
o,0.2451493740081787,0.06513833999633789,0.367476224899292,0.4326145648956299,2,rahil
r,0.14368534088134766,0.09743046760559082,0.41373109817504883,0.5111615657806396,3,rahil
d,0.4467735290527344,0.2309257984161377,0.6295788288116455,0.8605046272277832,4,rahil
s,0.28027820587158203,0.19780492782592773,0.7120521068572998,0.9098570346832275,5,rahil
a,0.28768205642700195,0.1317613124847412,0.8679728507995605,0.9997341632843018,6,rahil
l,0.2425847053527832,0.04846000671386719,1.0620975494384766,1.1105575561523438,7,rahil
l,0.2050638198852539,0.06885504722595215,1.1983063220977783,1.2671613693237305,8,rahil
l,0.19664525985717773,0.07212281227111816,1.322828769683838,1.394951581954956,9,rahil
o,0.2288832664489746,0.06517624855041504,1.4865357875823975,1.5517120361328125,10,rahil
w,0.1669447422027588,0.1239769458770752,1.529503583908081,1.6534805297851562,11,rahil
e,0.1797502040863037,0.09427928924560547,1.6149744987487793,1.7092537879943848,12,rahil
r,0.26067399978637695,0.08176255226135254,1.7938859462738037,1.8756484985351562,13,rahil
c,0.347139835357666,0.1522665023803711,1.9887592792510986,2.1410257816314697,14,rahil
a,0.31740498542785645,0.22432684898376465,2.0818374156951904,2.306164264678955,15,rahil
s,0.3696765899658203,0.14329195022583008,2.3082220554351807,2.4515140056610107,16,rahil
e,0.2832491397857666,0.05871462821960449,2.5327565670013428,2.5914711952209473,17,rahil
4,0,0.06883907318115234,0,0.06883907318115234,0,rahil
w,0.30156850814819336,0.10756635665893555,0.1940021514892578,0.30156850814819336,1,rahil
o,0.23862910270690918,0.05479931831359863,0.37783193588256836,0.432631254196167,2,rahil
r,0.14714479446411133,0.07792925834655762,0.44704747200012207,0.5249767303466797,3,rahil
d,0.33999204635620117,0.1651594638824463,0.621880054473877,0.7870395183563232,4,rahil
s,0.22440862655639648,0.14325261116027832,0.7030360698699951,0.8462886810302734,5,rahil
a,0.24967527389526367,0.13553166389465332,0.8171796798706055,0.9527113437652588,6,rahil
l,0.269681453704834,0.06655573844909668,1.0203053951263428,1.0868611335754395,7,rahil
l,0.2238616943359375,0.05667686462402344,1.1874902248382568,1.2441670894622803,8,rahil
l,0.18950772285461426,0.07207107543945312,1.304926872253418,1.376997947692871,9,rahil
o,0.22399163246154785,0.06399226188659668,1.4649262428283691,1.5289185047149658,10,rahil
w,0.21936607360839844,0.15758657455444336,1.5267057418823242,1.6842923164367676,11,rahil
e,0.2104816436767578,0.10867738723754883,1.6285099983215332,1.737187385559082,12,rahil
r,0.27570223808288574,0.07834506034851074,1.8258671760559082,1.904212236404419,13,rahil
c,0.35036587715148926,0.14284944534301758,2.03338360786438,2.1762330532073975,14,rahil
a,0.337172269821167,0.22103071212768555,2.1495251655578613,2.370555877685547,15,rahil
s,0.31421518325805664,0.13183832168579102,2.331902027130127,2.463740348815918,16,rahil
e,0.28559017181396484,0.0553431510925293,2.5621490478515625,2.617492198944092,17,rahil
4,0,0.08137226104736328,0,0.08137226104736328,0,rahil
w,0.3580911159515381,0.1281123161315918,0.2299787998199463,0.3580911159515381,1,rahil
o,0.23048782348632812,0.06486868858337402,0.3955979347229004,0.4604666233062744,2,rahil
r,0.14371418952941895,0.08866620063781738,0.45064592361450195,0.5393121242523193,3,rahil
d,0.34003472328186035,0.16232633590698242,0.6283543109893799,0.7906806468963623,4,rahil
s,0.2114863395690918,0.1307826042175293,0.7090580463409424,0.8398406505584717,5,rahil
a,0.2569396495819092,0.1382138729095459,0.8277838230133057,0.9659976959228516,6,rahil
l,0.25493359565734863,0.05169939994812012,1.0310180187225342,1.0827174186706543,7,rahil
l,0.2171335220336914,0.05921363830566406,1.1889379024505615,1.2481515407562256,8,rahil
l,0.1849384307861328,0.06818723678588867,1.3056890964508057,1.3738763332366943,9,rahil
o,0.232344388961792,0.062188148498535156,1.4758453369140625,1.5380334854125977,10,rahil
w,0.21075654029846191,0.15749406814575195,1.5291078090667725,1.6866018772125244,11,rahil
e,0.20520401000976562,0.08946394920349121,1.6448478698730469,1.734311819076538,12,rahil
r,0.24088358879089355,0.06899571418762207,1.8167357444763184,1.8857314586639404,13,rahil
c,0.3113725185394287,0.13458037376403809,1.993527889251709,2.128108263015747,14,rahil
a,0.2741858959197998,0.17802047729492188,2.089693307876587,2.267713785171509,15,rahil
s,0.3302500247955322,0.13483142852783203,2.285111904144287,2.419943332672119,16,rahil
e,0.2971384525299072,0.05826997756958008,2.5239803791046143,2.5822503566741943,17,rahil
4,0,0.0700674057006836,0,0.0700674057006836,0,rahil
w,0.3197476863861084,0.12073063850402832,0.19901704788208008,0.3197476863861084,1,rahil
o,0.26702189445495605,0.06191849708557129,0.40412044525146484,0.46603894233703613,2,rahil
r,0.16916847229003906,0.10541462898254395,0.46787428855895996,0.5732889175415039,3,rahil
d,0.3983924388885498,0.22719573974609375,0.639070987701416,0.8662667274475098,4,rahil
s,0.2537367343902588,0.17795467376708984,0.714853048324585,0.8928077220916748,5,rahil
a,0.27010583877563477,0.13407278060913086,0.8508861064910889,0.9849588871002197,6,rahil
l,0.24869227409362793,0.06765413284301758,1.0319242477416992,1.0995783805847168,7,rahil
l,0.2188873291015625,0.07184314727783203,1.1789684295654297,1.2508115768432617,8,rahil
l,0.20424890518188477,0.07157325744628906,1.3116440773010254,1.3832173347473145,9,rahil
o,0.23739862442016602,0.06188178062438965,1.4871609210968018,1.5490427017211914,10,rahil
w,0.19138216972351074,0.1511828899383545,1.527360200881958,1.6785430908203125,11,rahil
e,0.1873023509979248,0.10462737083435059,1.6100351810455322,1.7146625518798828,12,rahil
r,0.25589728355407715,0.06817173957824707,1.7977607250213623,1.8659324645996094,13,rahil
c,0.29582977294921875,0.1137697696685791,1.979820728302002,2.093590497970581,14,rahil
a,0.2514684200286865,0.1731252670288086,2.05816388130188,2.2312891483306885,15,rahil
s,0.3099789619445801,0.12874293327331543,2.2393999099731445,2.36814284324646,16,rahil
e,0.270618200302124,0.04527449607849121,2.4647436141967773,2.5100181102752686,17,rahil
