char,deltaup,deltadown,downtime,uptime,char_index,user
r,0.2035202980041504,0.05574989318847656,3.1970162391662598,3.2527661323547363,13,person1
c,0.24187445640563965,0.05945634841918945,3.37943434715271,3.4388906955718994,14,person1
a,0.15716910362243652,0.04537534713745117,3.4912281036376953,3.5366034507751465,15,person1
s,0.15563440322875977,0.04580855369567871,3.6010539531707764,3.646862506866455,16,person1
e,0.22378945350646973,0.055849552154541016,3.768993854522705,3.824843406677246,17,person1
4,0,0.05402541160583496,0,0.05402541160583496,0,person1
w,0.5727508068084717,0.04919147491455078,0.5235593318939209,0.5727508068084717,1,person1
o,0.25336599349975586,0.05571293830871582,0.7212123870849609,0.7769253253936768,2,person1
r,0.4001126289367676,0.052454233169555664,1.0688707828521729,1.1213250160217285,3,person1
d,0.21588993072509766,0.06519150733947754,1.219569206237793,1.2847607135772705,4,person1
s,0.1506502628326416,0.055683135986328125,1.3145363330841064,1.3702194690704346,5,person1
a,0.39524412155151367,0.04383492469787598,1.6659455299377441,1.7097804546356201,6,person1
l,0.5120913982391357,0.05891776084899902,2.119119167327881,2.17803692817688,7,person1
l,0.2054908275604248,0.06841254234313965,2.256197452545166,2.3246099948883057,8,person1
l,0.31115078926086426,0.0522313117980957,2.5151169300079346,2.5673482418060303,9,person1
o,0.22049760818481445,0.05583071708679199,2.679783821105957,2.735614538192749,10,person1
w,0.35655784606933594,0.05026650428771973,2.9860751628875732,3.036341667175293,11,person1
e,0.19473600387573242,0.04227304458618164,3.138538122177124,3.1808111667633057,12,person1
r,0.18935680389404297,0.051845550537109375,3.2760493755340576,3.327894926071167,13,person1
c,0.24695706367492676,0.06971979141235352,3.453286647796631,3.5230064392089844,14,person1
a,0.1675727367401123,0.051979780197143555,3.5688796043395996,3.620859384536743,15,person1
s,0.17687273025512695,0.046092987060546875,3.6996593475341797,3.7457523345947266,16,person1
e,0.22864198684692383,0.056099653244018555,3.872201681137085,3.9283013343811035,17,person1
4,0,0.08519530296325684,0,0.08519530296325684,0,person2
w,0.618248701095581,0.09832119941711426,0.5199275016784668,0.618248701095581,1,person2
o,0.39440393447875977,0.11798715591430664,0.7963442802429199,0.9143314361572266,2,person2
r,0.34952616691589355,0.08826637268066406,1.0576040744781494,1.1458704471588135,3,person2
d,0.36261487007141113,0.08761048316955566,1.3326084613800049,1.4202189445495605,4,person2
s,0.4457097053527832,0.08116006851196289,1.6971580982208252,1.778318166732788,5,person2
a,0.5669519901275635,0.0963430404663086,2.16776704788208,2.2641100883483887,6,person2
l,0.394481897354126,0.08852958679199219,2.473719358444214,2.562248945236206,7,person2
l,0.2841024398803711,0.11462235450744629,2.6431994438171387,2.757821798324585,8,person2
l,0.36621570587158203,0.11185216903686523,2.8975629806518555,3.0094151496887207,9,person2
o,0.3457307815551758,0.1018223762512207,3.1414713859558105,3.2432937622070312,10,person2
w,0.31961536407470703,0.10535693168640137,3.355729818344116,3.4610867500305176,11,person2
e,0.3302633762359619,0.10134315490722656,3.5846500396728516,3.685993194580078,12,person2
r,0.34504270553588867,0.11112332344055176,3.8185694217681885,3.9296927452087402,13,person2
c,0.5393648147583008,0.10815095901489258,4.249783277511597,4.357934236526489,14,person2
a,0.45166516304016113,0.09749245643615723,4.603955984115601,4.701448440551758,15,person2
s,0.3187980651855469,0.0920262336730957,4.830727815628052,4.9227540493011475,16,person2
e,0.36703014373779297,0.10806012153625488,5.08969783782959,5.197757959365845,17,person2
4,0,0.08773040771484375,0,0.08773040771484375,0,person2
w,0.6965286731719971,0.10471248626708984,0.5918161869049072,0.6965286731719971,1,person2
o,0.38944506645202637,0.10874438285827637,0.8725168704986572,0.9812612533569336,2,person2
r,0.3951287269592285,0.09173130989074707,1.1759142875671387,1.2676455974578857,3,person2
d,0.3917217254638672,0.09284138679504395,1.474794626235962,1.5676360130310059,4,person2
s,0.43221235275268555,0.08509969711303711,1.8219072818756104,1.9070069789886475,5,person2
a,0.46617913246154785,0.08771538734436035,2.200371026992798,2.288086414337158,6,person2
l,0.40967726707458496,0.06163501739501953,2.5484132766723633,2.610048294067383,7,person2
l,0.25780701637268066,0.09379076957702637,2.7124295234680176,2.806220293045044,8,person2
l,0.37600040435791016,0.10046768188476562,2.987962245941162,3.0884299278259277,9,person2
o,0.3864939212799072,0.09171271324157715,3.282743453979492,3.3744561672210693,10,person2
w,0.34410953521728516,0.10790610313415527,3.518946886062622,3.6268529891967773,11,person2
e,0.35340213775634766,0.1015021800994873,3.7708468437194824,3.8723490238189697,12,person2
r,0.3567326068878174,0.11350464820861816,4.014074802398682,4.1275794506073,13,person2
c,0.5731091499328613,0.10468888282775879,4.482495069503784,4.587183952331543,14,person2
a,0.4314413070678711,0.10179901123046875,4.8121373653411865,4.913936376571655,15,person2
s,0.3407754898071289,0.09514307975769043,5.057769775390625,5.152912855148315,16,person2
e,0.34391236305236816,0.10473418235778809,5.296947956085205,5.401682138442993,17,person2
4,0,0.09613037109375,0,0.09613037109375,0,person2
w,0.6036536693572998,0.0944983959197998,0.5091552734375,0.6036536693572998,1,person2
o,0.4267704486846924,0.10895800590515137,0.826967716217041,0.9359257221221924,2,person2
r,0.39083361625671387,0.08429646492004395,1.133504867553711,1.2178013324737549,3,person2
d,0.35341358184814453,0.09121513366699219,1.3957033157348633,1.4869184494018555,4,person2
s,0.4585306644439697,0.08208942413330078,1.7721445560455322,1.854233980178833,5,person2
a,0.5538849830627441,0.08537793159484863,2.2406516075134277,2.3260295391082764,6,person2
l,0.4855165481567383,0.07835888862609863,2.6478092670440674,2.726168155670166,7,person2
l,0.28319597244262695,0.0947120189666748,2.8362932205200195,2.9310052394866943,8,person2
l,0.3854694366455078,0.08049845695495605,3.1412642002105713,3.2217626571655273,9,person2
o,0.32584476470947266,0.08191514015197754,3.3851938247680664,3.467108964920044,10,person2
w,0.3187234401702881,0.0915367603302002,3.6123805046081543,3.7039172649383545,11,person2
e,0.34093546867370605,0.10816287994384766,3.8451530933380127,3.9533159732818604,12,person2
r,0.35155773162841797,0.09897351264953613,4.0977373123168945,4.196710824966431,13,person2
c,0.4856128692626953,0.09227871894836426,4.491071462631226,4.58335018157959,14,person2
a,0.4339118003845215,0.0948340892791748,4.830149173736572,4.924983263015747,15,person2
s,0.3040187358856201,0.08500409126281738,5.049163818359375,5.134167909622192,16,person2
e,0.3201429843902588,0.08158731460571289,5.287719488143921,5.369306802749634,17,person2
4,0,0.09441947937011719,0,0.09441947937011719,0,person2
w,0.5873317718505859,0.10375046730041504,0.4835813045501709,0.5873317718505859,1,person2
o,0.609015703201294,0.11831927299499512,0.9742777347564697,1.0925970077514648,2,person2
r,0.41610026359558105,0.09160256385803223,1.2987754344940186,1.3903779983520508,3,person2
d,0.380413293838501,0.09879922866821289,1.5803894996643066,1.6791887283325195,4,person2
s,0.4616537094116211,0.07995343208312988,1.9620897769927979,2.0420432090759277,5,person2
a,0.37785959243774414,0.07845139503479004,2.261497974395752,2.339949369430542,6,person2
l,0.41097307205200195,0.07203888893127441,2.6004321575164795,2.672471046447754,7,person2
l,0.2851278781890869,0.10306310653686523,2.782496929168701,2.8855600357055664,8,person2
l,0.3826029300689697,0.09470033645629883,3.070399522781372,3.165099859237671,9,person2
o,0.3224618434906006,0.08151412010192871,3.311347246170044,3.3928613662719727,10,person2
w,0.2812199592590332,0.1007692813873291,3.491797924041748,3.592567205429077,11,person2
e,0.3521387577056885,0.10803627967834473,3.735900402069092,3.8439366817474365,12,person2
r,0.32641148567199707,0.09168267250061035,3.9706292152404785,4.062311887741089,13,person2
c,0.48555731773376465,0.08478379249572754,4.371402740478516,4.456186532974243,14,person2
a,0.4173712730407715,0.08819079399108887,4.700583219528198,4.788774013519287,15,person2
s,0.324800968170166,0.09406900405883789,4.931315183639526,5.025384187698364,16,person2
e,0.37149810791015625,0.09118437767028809,5.2116289138793945,5.302813291549683,17,person2
4,0,0.08192253112792969,0,0.08192253112792969,0,person2
w,0.551121711730957,0.08953094482421875,0.4615907669067383,0.551121711730957,1,person2
o,0.4259774684906006,0.10222959518432617,0.7853386402130127,0.8875682353973389,2,person2
r,0.4020242691040039,0.08920168876647949,1.098161220550537,1.1873629093170166,3,person2
d,0.4098811149597168,0.09930229187011719,1.4087400436401367,1.508042335510254,4,person2
s,0.4720883369445801,0.08602452278137207,1.7948038578033447,1.8808283805847168,5,person2
a,0.3635141849517822,0.08179354667663574,2.076524496078491,2.158318042755127,6,person2
